"id","province_name","last_updated","last_updated_epoch","gb_defra_index","uv","humidity","environment_vioscore"
"1309","Drenthe","2023-10-30 11:45:05.152455","1309","","4","82","51.66"
"1310","Flevoland","2023-10-30 11:45:05.152455","1310","","3","88","50"
"1311","Friesland","2023-10-30 11:45:05.152455","1311","","3","88","50"
"1312","Gelderland","2023-10-30 11:45:05.152455","1312","","3","82","55"
"1313","Groningen","2023-10-30 11:45:05.152455","1313","","3","82","55"
